S.No. ,Fiscal Year ,Rape ,Attempt to Rape ,Human Trafficking,Abortion ,Polygamy ,Child Marriage,Domestic Violence,Witchcraft,Untouchability,Child Sexual Abuse
1,053/054 ,112,34,117,74,101,5,337,0,0,0
2,054/055 ,181,34,130,101,135,3,228,0,0,0
3,055/056 ,141,18,110,81,96,1,432,0,0,0
4,056/057 ,186,33,120,89,96,5,711,0,0,0
5,057/058 ,122,35,92,55,75,1,449,0,0,0
6,058/059 ,129,21,40,14,51,- ,410,0,0,0
7,059/060 ,157,18,55,15,69,2,569,0,0,0
8,060/061 ,154,19,56,8,44,3,922,0,0,0
9,061/062 ,188,25,72,11,66,1,730,0,0,0
10,062/063 ,195,38,97,14,65,1,939,0,0,0
11,063/064 ,317,70,112,3,94,7,1100,0,0,0
12,064/065 ,309,73,123,13,122,4,881,0,0,0
13,065/066 ,391,75,139,12,170,2,968,0,0,0
14,066/067 ,376,101,161,8,146,7,983,4,0,0
15,067/068 ,481,151,183,12,197,2,1355,39,0,0
16,068/069 ,555,156,118,13,249,12,2250,35,0,0
17,069/070 ,677,245,144,28,350,19,1800,28,0,0
18,070/071 ,912,414,185,18,421,15,6835,39,14,0
19,071/072 ,981,562,181,17,518,23,8268,43,10,0
20,072/073 ,1089,452,212,22,463,20,9398,28,19,0
21,073/074 ,1131,536,227,22,464,26,11629,24,17,0
22,074/075 ,1480,727,305,18,602,59,12225,48,18,0
23,075/076 ,2230,786,258,27,1001,86,14774,46,43,211
